"","X1","X2","X3","X4","X5","X6","X7","X8","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X1.4","X2.4","X3.4","X4.4","X5.4","X6.4","X7.4","X8.4","X1.5","X2.5","X3.5","X4.5","X5.5","X6.5","X7.5","X8.5","X1.6","X2.6","X3.6","X4.6","X5.6","X6.6","X7.6","X8.6","X1.7","X2.7","X3.7","X4.7","X5.7","X6.7","X7.7","X8.7","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"257",36291.4454664276,114814.157175235,77907.5218607085,11928.5858706516,45835.0260571307,45835.0260571307,15994.4353369274,47279.2188405521,2301.77133966847,2533.71655202451,12890.006480103,1685.24652119183,3285.97562905227,3285.97562905227,908.809340915101,3934.95565097941,1002.40416387593,635.910060261609,2496.84184704185,634.506908253712,2529.97905281385,2529.97905281385,675.276547451085,1260.9719734851,0.765512100972106,0.996307670035512,0.76551176502975,0.996307670035512,NA,NA,0.996307670035512,0.975122924984785,0,0,0,0,NA,NA,0,0,23.0177133966841,25.3371655202469,128.900064801014,16.8524652119186,32.859756290522,32.859756290522,9.08809340915256,39.3495565097985,3.62914454664247,11.4814157175221,7.79075218607202,1.19285858706494,4.58350260571429,4.58350260571429,1.59944353369285,4.72792188405629,0.0040000000000191,0,0.00500000000010914,0,0,0.0349999999999682,0,0.0360000000000582,0,0,0.126999999999953,0,0.126999999999953,0,0,0,0,0,0,0,0.00199999999995271,0,0.00199999999995271,0,0,0,0,0,0,0,0.0320000000000391,0,0.0319999999999254,0,0
"258",35697.6842152929,137943.203710023,23306.1201939688,12031.4204612737,25953.4943180796,21997.3419954023,9743.68383127092,21182.301783276,2977.75997264619,3049.13258082439,4981.28789490769,2381.09105024966,3705.59931605193,3399.01280863901,1612.9221393836,3840.5759046194,1642.77274065608,942.74031430558,2010.64037490288,1431.73461588463,1509.96032266345,1509.96032266345,1143.27074040347,1566.71356799355,0.768432688280652,0.995968690954764,0.768432687956331,0.995968690954764,0.995947727359854,0.995947721964432,0.995968690954764,0.97450358696076,0,0,0,0,0,0,0,0,29.7775997264559,30.4913258082423,49.8128789490687,23.8109105024956,37.0559931605196,33.9901280863903,16.1292213938387,38.4057590461881,3.56976842152911,13.7943203710011,2.33061201939606,1.20314204612766,2.59534943180791,2.19973419954018,0.974368383127326,2.11823017832712,0.00499999999999545,0,0.00499999999988177,0,0,0.0360000000000582,0,0.0360000000000582,0,0,0.127999999999929,0,0.127999999999929,0,0,0,0,0.000999999999976353,0,0,0.00199999999995271,0,0.00199999999995271,0,0,0,0,0,0,0,0.0310000000000628,0,0.0319999999999254,0,0
"259",28148.12115671,13722.7841606716,15117.2941411746,8846.46601839924,11235.3310753233,11235.3310753233,13808.2936618058,13255.8687280435,1301.93166476641,2323.38176104617,2872.45462792759,2129.50226999981,2845.06989794863,2845.06989794863,2834.10722041724,2793.85507723548,494.966165696927,2082.31770764547,2562.96003996004,1893.4965251706,2551.38861138861,2551.38861138861,2546.01074916616,2524.60167619735,0.76858227910626,0.996267806727296,0.768582234437393,0.996267806727296,0.996247205152631,0.996247205152631,0.996267806727296,0.996262911985882,0,0,0,0,0,0,0,0,13.0193166476656,23.2338176104573,28.7245462792701,21.2950227000047,28.4506989794861,28.4506989794861,28.3410722041789,27.9385507723477,2.81481211567227,1.37227841606685,1.51172941411729,0.884646601839762,1.12353310753231,1.12353310753231,1.38082936618059,1.32558687280409,0.0040000000000191,0,0.00400000000013279,0,0,0.0350000000000819,0,0.0349999999998545,0,0,0.129000000000019,0,0.129000000000133,0,0,0,0,0,0,0,0.00199999999995271,0,0.000999999999976353,0,0,0,0,0,0,0,0.0320000000000391,0,0.0310000000001764,0,0
"260",30056.9241374787,19503.5733669497,15255.0384889454,9690.7499740337,11802.1811505616,11802.1811505616,11550.8530595633,12306.997332715,2848.57208158425,2589.28195980993,2714.03784213081,2393.18767104835,2710.73790818052,2710.73790818052,2566.87742013427,2697.91563678433,1692.97892025539,2007.01689155775,2041.0533966034,1869.45995765579,2041.0533966034,2041.0533966034,1963.69125094248,2034.74835329098,0.765245807973243,0.996145543218913,0.765245776954813,0.996145543218913,0.995717498080492,0.995717498080492,0.996145543218913,0.996144730073107,0,0,0,0,0,0,0,0,28.485720815841,25.8928195980927,27.1403784213114,23.9318767104807,27.1073790818064,27.1073790818064,25.6687742013424,26.979156367848,3.00569241374684,1.95035733669506,1.52550384889439,0.969074997403809,1.18021811505624,1.18021811505624,1.15508530595676,1.23069973327192,0.00499999999999545,0,0.00499999999988177,0,0,0.0350000000000819,0,0.0360000000000582,0,0,0.127000000000066,0.000999999999976353,0.126999999999953,0,0,0,0,0,0,0,0.00200000000006639,0,0.00200000000018008,0,0,0,0,0,0,0,0.0310000000000628,0,0.0319999999999254,0,0
"261",35642.1974235073,16724.2216755015,14270.447178839,9280.17440747597,10767.8514124156,10767.8514124156,21035.606233765,22369.536438003,2952.49820556585,2448.98265757015,2919.25183469966,2396.55244509278,2908.30939547145,2908.30939547145,2884.82813734829,2877.72618124633,1687.14051205891,2033.3810882797,2365.45822510823,1995.22121943497,2360.52793410293,2360.52793410293,2347.57017829787,2336.82023294982,0.76407231980886,0.996094859333416,0.764072214432739,0.99609485194276,0.996082373756391,0.996082373756391,0.996094859333416,0.996051013103065,0,0,0,0,0,0,0,0,29.5249820556574,24.489826575701,29.1925183469949,23.9655244509257,29.0830939547147,29.0830939547147,28.8482813734834,28.7772618124702,3.56421974235197,1.67242216754981,1.42704471788436,0.928017440748161,1.07678514124145,1.07678514124145,2.10356062337616,2.23695364380041,0.00399999999990541,0,0.00399999999990541,0,0,0.0350000000000819,0,0.0360000000000582,0,0,0.12700000000018,0,0.126999999999953,0,0,0,0,0,0,0,0.000999999999976353,0,0.000999999999976353,0,0,0,0,0,0,0,0.0319999999999254,0,0.0319999999999254,0,0
"262",23625.1700866414,22133.5083497485,15665.8828592185,9934.46242743882,13543.2140960019,13543.2140960019,11153.4516032249,15405.4713709657,2084.4988782672,2235.05935516388,2494.63500612125,2143.62303680996,2452.87689433903,2452.87689433903,2230.98862042801,2345.05216038774,1757.42717452523,1844.75041980256,1976.39762293262,1798.04805751824,1941.03037425537,1941.03037425537,1827.28602747774,1896.64179879315,0.761960090799595,0.996310175415656,0.761960069049125,0.996310175415656,0.996264753187467,0.996264753187467,0.996310175415656,0.99631009984907,0,0,0,0,0,0,0,0,20.8449887826714,22.3505935516351,24.9463500612164,21.4362303680951,24.5287689433901,24.5287689433901,22.3098862042777,23.4505216038754,2.36251700866377,2.21335083497506,1.56658828592192,0.993446242743515,1.35432140960023,1.35432140960023,1.11534516032319,1.54054713709665,0.00499999999988177,0,0.00500000000010914,0,0,0.0360000000000582,0.0010000000000332,0.0360000000000582,0,0,0.133999999999787,0,0.128999999999905,0,0,0,0,0,0,0,0.000999999999976353,0,0.000999999999976353,0,0,0,0,0,0,0,0.0319999999999254,0,0.0319999999999254,0,0
"263",29519.2391173558,24501.3784182025,13574.1250392454,9317.56508348367,15547.4755568294,15547.4755568294,10334.2040924852,13735.9178076838,1379.65869653489,2168.26392859855,2494.97048679988,1885.14470538626,2749.8587140151,2749.8587140151,2511.59065297753,2524.43864818383,509.894418643709,2049.59317877542,2362.96670690421,1720.70746760398,2526.27947145447,2526.27947145447,2348.79721312056,2369.86074272337,0.767383639142292,0.996458886191184,0.767383638735133,0.996458884470354,0.76856081138544,0.76856081138544,0.996458886191184,0.996458884521979,0,0,0,0,0,0,0,0,13.7965869653484,21.6826392859926,24.9497048679991,18.8514470538606,27.4985871401461,27.4985871401461,25.1159065297763,25.2443864818318,2.95192391173554,2.45013784182041,1.3574125039249,0.931756508347934,1.55474755568329,1.55474755568329,1.03342040924835,1.37359178076844,0.00400000000013279,0.000999999999976353,0.00500000000010914,0,0,0.0350000000000819,0,0.0360000000000582,0,0,0.126999999999953,0,0.128000000000156,0,0,0,0,0,0,0,0.00199999999995271,0,0.000999999999976353,0,0,0,0,0,0,0,0.0320000000001528,0,0.0319999999999254,0,0
"264",51487.9966207964,57236.940297297,15021.5954765412,8882.53449635273,36545.3193398817,36545.3193398817,9687.76882108917,12485.0707946504,5892.31923638898,1762.83880949419,2256.74403177209,1745.55839289972,2967.50481848221,2967.50481848221,1816.00520476783,1959.63984563001,4513.74693078849,1079.76325608665,1861.66517510268,1290.48645229439,2347.76391222389,2347.76391222389,1114.45604247368,1307.38479490872,0.771853520026344,0.996198340604607,0.771853519362584,0.996198340604607,NA,NA,0.996198340604607,0.988582624429851,0,0,0,0,NA,NA,0,0,58.9231923638937,17.6283880949423,22.5674403177177,17.4555839289946,29.6750481848211,29.6750481848211,18.1600520476759,19.5963984562946,5.14879966207964,5.7236940297307,1.50215954765429,0.888253449634929,3.65453193398823,3.65453193398823,0.968776882108881,1.24850707946552,0.00400000000013279,0,0.00499999999988177,0,0,0.0430000000001201,0.0010000000000332,0.0360000000000582,0,0,0.126999999999953,0,0.126999999999953,0,0,0,0,0,0,0,0.00199999999995271,0,0.00199999999995271,0,0,0,0,0,0,0,0.0320000000001528,0,0.0319999999999254,0,0
"265",27655.1290101547,17336.8113261894,14430.1936367586,8221.90276746868,26831.2567898898,26831.2567898898,9691.88886293264,11267.4870912959,1477.74586385663,2097.19101199949,2883.42053243743,1987.03792215215,3052.04369343042,3052.04369343042,2794.3995306642,2687.32111082027,516.975843031774,1987.70921569933,2754.85165945166,1871.12194911134,2823.09598762626,2823.09598762626,2704.31700762021,2571.5951141099,0.754908447406555,0.995838833222534,0.754908433666239,0.995838831218848,NA,NA,0.995838833222534,0.995838704731894,0,0,0,0,NA,NA,0,0,14.7774586385684,20.9719101199964,28.8342053243678,19.870379221524,30.5204369343095,30.5204369343095,27.9439953066434,26.8732111082027,2.76551290101622,1.73368113261893,1.44301936367573,0.82219027674686,2.6831256789899,2.6831256789899,0.96918888629273,1.12674870912947,0.00499999999988177,0,0.00500000000010914,0,0,0.0419999999999163,0.00200000000000955,0.0370000000000346,0,0,0.127999999999929,0,0.128999999999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309999999999491,0,0.0319999999999254,0,0
"266",29200.9945560551,38149.543583273,18569.0271913529,14416.0322604107,14971.451790603,14971.451790603,33276.4232192512,16472.6064969812,1598.41403581762,2171.56955003179,2628.87744241579,2520.73018407873,2644.96015533758,2644.96015533758,2562.50968865319,2597.47548974426,668.158873145255,1755.07000929261,1934.6606032856,1648.09414520495,1940.66873820624,1940.66873820624,1906.53367238772,1902.34374362261,0.773302035750978,0.996542668622411,0.773302035245527,0.996542621883079,0.996531021848162,0.996531021848162,0.996542668622411,0.996542633066639,0,0,0,0,0,0,0,0,15.9841403581758,21.7156955003169,26.288774424162,25.2073018407847,26.4496015533758,26.4496015533758,25.6250968865291,25.9747548974459,2.92009945560579,3.81495435832684,1.85690271913553,1.44160322604113,1.49714517906022,1.49714517906022,3.32764232192581,1.64726064969814,0.00499999999988177,0,0.00399999999990541,0,0,0.0349999999998545,0.0010000000000332,0.0360000000000582,0,0,0.125999999999976,0,0.126999999999953,0,0,0,0,0,0,0,0.000999999999976353,0,0.00200000000018008,0,0,0,0,0,0,0,0.0319999999999254,0,0.0319999999999254,0,0
